pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass
-1.6853e-24,-1.70365e-24,9.50414e-26,-3.38181e-27,-3.41864e-27,1.90715e-28,1.98847e+30
3.04427e+46,9.60247e+46,5.05008e+45,6.08245e+43,1.91858e+44,1.00901e+43,3.30101e+23
6.22076e+47,1.94865e+46,-3.56398e+46,1.24291e+45,3.8934e+43,-7.12084e+43,4.86732e+24
6.87121e+46,-4.05415e+47,1.8729e+44,1.37287e+44,-8.1002e+44,3.74206e+41,5.97219e+24
-2.20197e+46,3.34909e+44,5.48241e+44,-4.39954e+43,6.69149e+41,1.09539e+42,6.41693e+23
-4.35315e+48,-3.68201e+48,7.80159e+46,-8.6976e+45,-7.35667e+45,1.55876e+44,1.89813e+27
-3.42605e+47,-2.95759e+47,8.39765e+45,-6.84526e+44,-5.90927e+44,1.67785e+43,5.68319e+26
-8.22028e+45,9.5088e+45,6.87254e+43,-1.64241e+43,1.89986e+43,1.37314e+41,8.68101e+25
-1.52445e+46,5.67196e+45,6.96354e+45,-3.04585e+43,1.13326e+43,1.39132e+43,1.0241e+26
9.00787e+42,-3.03395e+42,-1.75358e+42,1.79977e+40,-6.06183e+39,-3.50365e+39,9.47e+20
2.00476e+41,-2.59959e+43,-4.30991e+43,4.00551e+38,-5.19399e+40,-8.61122e+40,1.30293e+22
-1.06995e+41,-3.72387e+40,3.15861e+40,-2.13775e+38,-7.44031e+37,6.31091e+37,1.6716e+22
9.00962e+40,1.00292e+40,-4.38539e+40,1.80012e+38,2.00383e+37,-8.76202e+37,4.006e+21
6.57147e+40,-1.73106e+40,-3.75759e+40,1.31298e+38,-3.45867e+37,-7.50767e+37,3.1e+21
-1.40861e+40,8.86606e+39,1.55752e+39,-2.8144e+37,1.77144e+37,3.11193e+36,1.75e+21
1.89129e+40,4.49271e+40,-5.81924e+39,3.77881e+37,8.97644e+37,-1.16268e+37,1.4e+21
-6.54075e+39,-6.74388e+39,1.96262e+39,-1.30684e+37,-1.34743e+37,3.92132e+36,1.194e+21
1.3981e+40,-1.14202e+40,5.35153e+39,2.79341e+37,-2.28176e+37,1.06924e+37,6.348e+20
-1.5236e+40,6.10506e+39,-6.18058e+39,-3.04416e+37,1.21979e+37,-1.23488e+37,4.922e+20
8.79013e+44,-4.9819e+45,-1.23748e+42,1.75627e+42,-9.95385e+42,-2.4725e+39,7.34581e+22
-3.64411e+38,5.49355e+36,9.0769e+36,-7.28094e+35,1.09761e+34,1.81357e+34,1.06192e+16
-4.94509e+37,7.45303e+35,1.22888e+36,-9.8803e+34,1.48912e+33,2.45531e+33,1.44069e+15
-2.04707e+44,-1.37194e+44,4.9805e+42,-4.09005e+41,-2.74115e+41,9.95104e+39,8.92968e+22
-1.12072e+44,-8.60345e+43,2.30165e+42,-2.2392e+41,-1.71897e+41,4.59871e+39,4.79859e+22
-3.21472e+44,-2.35468e+44,8.28618e+42,-6.42302e+41,-4.70465e+41,1.65558e+40,1.48148e+23
-2.32447e+44,-1.70923e+44,5.87981e+42,-4.6443e+41,-3.41504e+41,1.17479e+40,1.07566e+23
-5.3534e+39,-3.92562e+39,1.36062e+38,-1.06961e+37,-7.84339e+36,2.71853e+35,2.46564e+18
-4.86484e+39,-3.66943e+39,8.53974e+37,-9.71997e+36,-7.33152e+36,1.70624e+35,2.27069e+18
-1.93289e+39,-1.41326e+39,3.57728e+37,-3.86192e+36,-2.8237e+36,7.14742e+34,8.69228e+17
-6.84769e+38,-4.75739e+38,3.26426e+36,-1.36817e+36,-9.50527e+35,6.52199e+33,2.99734e+17
-1.61878e+38,-1.28509e+38,3.05379e+36,-3.23432e+35,-2.5676e+35,6.10149e+33,7.49334e+16
-1.33722e+38,-9.70069e+37,3.22677e+36,-2.67177e+35,-1.9382e+35,6.44708e+33,6.29441e+16
-3.08661e+38,-2.20682e+38,1.12677e+37,-6.16706e+35,-4.40922e+35,2.25128e+34,1.31883e+17
-6.10105e+37,-4.588e+37,2.4127e+36,-1.21899e+35,-9.16683e+34,4.82058e+33,2.99734e+16
-2.34538e+37,-1.67935e+37,4.13787e+35,-4.68608e+34,-3.35534e+34,8.26747e+32,1.09403e+16
-9.81707e+38,-7.19392e+38,2.49852e+37,-1.96145e+36,-1.43735e+36,4.99205e+34,4.51704e+17
-4.52404e+36,-3.31593e+36,1.15047e+35,-9.03904e+33,-6.62524e+33,2.29865e+32,2.08262e+15
-8.14254e+37,-5.96833e+37,2.07153e+36,-1.62688e+35,-1.19247e+35,4.13892e+33,3.74722e+16
-1.83392e+36,-1.43856e+36,2.04346e+34,-3.66417e+33,-2.87424e+33,4.08284e+31,8.69228e+14
-1.48518e+36,-1.07564e+36,2.94239e+34,-2.96738e+33,-2.14913e+33,5.8789e+31,6.89388e+14
-4.82816e+35,-3.67223e+35,2.76085e+32,-9.64668e+32,-7.33712e+32,5.51619e+29,2.09814e+14
-3.64351e+35,-2.47956e+35,9.92316e+33,-7.27973e+32,-4.95416e+32,1.98265e+31,1.64854e+14
-1.55501e+35,-1.10788e+35,2.58067e+33,-3.10691e+32,-2.21354e+32,5.15618e+30,7.49334e+13
-2.43548e+35,-1.82926e+35,8.16056e+33,-4.86608e+32,-3.65486e+32,1.63048e+31,1.19894e+14
-4.30849e+35,-2.92588e+35,6.09671e+33,-8.60838e+32,-5.84592e+32,1.21812e+31,1.94827e+14
-4.09143e+35,-2.8812e+35,1.8923e+34,-8.17468e+32,-5.75664e+32,3.78082e+31,1.94827e+14
-9.1349e+34,-6.98669e+34,3.34106e+33,-1.82516e+32,-1.39594e+32,6.67544e+30,4.49600e+13
-1.74995e+35,-1.25627e+35,6.41592e+33,-3.4964e+32,-2.51003e+32,1.2819e+31,7.49334e+13
-9.575e+35,-6.60307e+35,3.63411e+34,-1.91309e+33,-1.3193e+33,7.26095e+31,4.34614e+14
-1.80292e+35,-1.36034e+35,6.58442e+33,-3.60225e+32,-2.71796e+32,1.31557e+31,8.99201e+13
-2.04879e+35,-1.40575e+35,8.43594e+33,-4.09349e+32,-2.80868e+32,1.6855e+31,8.99201e+13
-2.07745e+35,-1.47108e+35,9.9339e+32,-4.15074e+32,-2.93923e+32,1.9848e+30,8.99201e+13
-9.62302e+34,-7.61762e+34,3.29544e+33,-1.92268e+32,-1.522e+32,6.5843e+30,4.49600e+13
