pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass
-6.70973e-25,-6.78279e-25,3.78391e-26,-3.37976e-27,-3.41656e-27,1.90599e-28,1.98847e+30
1.21953e+46,3.84674e+46,2.02306e+45,6.08245e+43,1.91858e+44,1.00901e+43,3.30101e+23
2.49203e+47,7.80627e+45,-1.42773e+46,1.24291e+45,3.8934e+43,-7.12084e+43,4.86732e+24
2.7526e+46,-1.62409e+47,7.50283e+43,1.37287e+44,-8.1002e+44,3.74206e+41,5.97219e+24
-8.82108e+45,1.34164e+44,2.19625e+44,-4.39954e+43,6.69149e+41,1.09539e+42,6.41693e+23
-1.74387e+48,-1.47501e+48,3.12531e+46,-8.6976e+45,-7.35667e+45,1.55876e+44,1.89813e+27
-1.37247e+47,-1.18481e+47,3.36409e+45,-6.84526e+44,-5.90927e+44,1.67785e+43,5.68319e+26
-3.29304e+45,3.80922e+45,2.75314e+43,-1.64241e+43,1.89986e+43,1.37314e+41,8.68101e+25
-6.10693e+45,2.27218e+45,2.78959e+45,-3.04585e+43,1.13326e+43,1.39132e+43,1.0241e+26
3.60855e+42,-1.2154e+42,-7.02482e+41,1.79977e+40,-6.06183e+39,-3.50365e+39,9.47e+20
8.03104e+40,-1.04139e+43,-1.72655e+43,4.00551e+38,-5.19399e+40,-8.61122e+40,1.30293e+22
-4.2862e+40,-1.49178e+40,1.26534e+40,-2.13775e+38,-7.44031e+37,6.31091e+37,1.6716e+22
3.60925e+40,4.01768e+39,-1.75679e+40,1.80012e+38,2.00383e+37,-8.76202e+37,4.006e+21
2.63253e+40,-6.93463e+39,-1.50529e+40,1.31298e+38,-3.45867e+37,-7.50767e+37,3.1e+21
-5.64288e+39,3.55174e+39,6.23942e+38,-2.8144e+37,1.77144e+37,3.11193e+36,1.75e+21
7.57651e+39,1.79978e+40,-2.33118e+39,3.77881e+37,8.97644e+37,-1.16268e+37,1.4e+21
-2.62022e+39,-2.70159e+39,7.86224e+38,-1.30684e+37,-1.34743e+37,3.92132e+36,1.194e+21
5.60079e+39,-4.57493e+39,2.14382e+39,2.79341e+37,-2.28176e+37,1.06924e+37,6.348e+20
-6.10354e+39,2.44568e+39,-2.47594e+39,-3.04416e+37,1.21979e+37,-1.23488e+37,4.922e+20
3.52132e+44,-1.99575e+45,-4.95736e+41,1.75627e+42,-9.95385e+42,-2.4725e+39,7.34581e+22
-1.45983e+38,2.20071e+36,3.6362e+36,-7.28094e+35,1.09761e+34,1.81357e+34,1.06192e+16
-1.981e+37,2.98568e+35,4.92291e+35,-9.8803e+34,1.48912e+33,2.45531e+33,1.44069e+15
-8.20055e+43,-5.496e+43,1.99518e+42,-4.09005e+41,-2.74115e+41,9.95104e+39,8.92968e+22
-4.48959e+43,-3.44654e+43,9.22041e+41,-2.2392e+41,-1.71897e+41,4.59871e+39,4.79859e+22
-1.28782e+44,-9.43282e+43,3.31944e+42,-6.42302e+41,-4.70465e+41,1.65558e+40,1.48148e+23
-9.31183e+43,-6.84715e+43,2.35545e+42,-4.6443e+41,-3.41504e+41,1.17479e+40,1.07566e+23
-2.14457e+39,-1.5726e+39,5.45065e+37,-1.06961e+37,-7.84339e+36,2.71853e+35,2.46564e+18
-1.94885e+39,-1.46997e+39,3.42102e+37,-9.71997e+36,-7.33152e+36,1.70624e+35,2.27069e+18
-7.74315e+38,-5.66151e+38,1.43306e+37,-3.86192e+36,-2.8237e+36,7.14742e+34,8.69228e+17
-2.74318e+38,-1.90581e+38,1.30766e+36,-1.36817e+36,-9.50527e+35,6.52199e+33,2.99734e+17
-6.4848e+37,-5.14804e+37,1.22335e+36,-3.23432e+35,-2.5676e+35,6.10149e+33,7.49334e+16
-5.3569e+37,-3.88609e+37,1.29264e+36,-2.67177e+35,-1.9382e+35,6.44708e+33,6.29441e+16
-1.2365e+38,-8.84049e+37,4.51382e+36,-6.16706e+35,-4.40922e+35,2.25128e+34,1.31883e+17
