pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass
-1.00901e-24,-1.02e-24,5.69026e-26,-3.3809e-27,-3.41772e-27,1.90664e-28,1.98847e+30
1.82778e+46,5.76532e+46,3.03206e+45,6.08245e+43,1.91858e+44,1.00901e+43,3.30101e+23
3.73494e+47,1.16997e+46,-2.13981e+46,1.24291e+45,3.8934e+43,-7.12084e+43,4.86732e+24
4.12547e+46,-2.43411e+47,1.12449e+44,1.37287e+44,-8.1002e+44,3.74206e+41,5.97219e+24
-1.32206e+46,2.01079e+44,3.29164e+44,-4.39954e+43,6.69149e+41,1.09539e+42,6.41693e+23
-2.61363e+48,-2.21068e+48,4.68407e+46,-8.6976e+45,-7.35667e+45,1.55876e+44,1.89813e+27
-2.057e+47,-1.77573e+47,5.04195e+45,-6.84526e+44,-5.90927e+44,1.67785e+43,5.68319e+26
-4.93545e+45,5.70908e+45,4.12627e+43,-1.64241e+43,1.89986e+43,1.37314e+41,8.68101e+25
-9.15278e+45,3.40544e+45,4.18091e+45,-3.04585e+43,1.13326e+43,1.39132e+43,1.0241e+26
5.40832e+42,-1.82158e+42,-1.05285e+42,1.79977e+40,-6.06183e+39,-3.50365e+39,9.47e+20
1.20365e+41,-1.56079e+43,-2.58767e+43,4.00551e+38,-5.19399e+40,-8.61122e+40,1.30293e+22
-6.42395e+40,-2.23581e+40,1.89643e+40,-2.13775e+38,-7.44031e+37,6.31091e+37,1.6716e+22
5.40937e+40,6.02151e+39,-2.63299e+40,1.80012e+38,2.00383e+37,-8.76202e+37,4.006e+21
3.94551e+40,-1.03933e+40,-2.25605e+40,1.31298e+38,-3.45867e+37,-7.50767e+37,3.1e+21
-8.45729e+39,5.32318e+39,9.35135e+38,-2.8144e+37,1.77144e+37,3.11193e+36,1.75e+21
1.13553e+40,2.69742e+40,-3.49387e+39,3.77881e+37,8.97644e+37,-1.16268e+37,1.4e+21
-3.92707e+39,-4.04902e+39,1.17836e+39,-1.30684e+37,-1.34743e+37,3.92132e+36,1.194e+21
8.39421e+39,-6.85669e+39,3.21306e+39,2.79341e+37,-2.28176e+37,1.06924e+37,6.348e+20
-9.14769e+39,3.66548e+39,-3.71082e+39,-3.04416e+37,1.21979e+37,-1.23488e+37,4.922e+20
5.27759e+44,-2.99113e+45,-7.42985e+41,1.75627e+42,-9.95385e+42,-2.4725e+39,7.34581e+22
-2.18792e+38,3.29833e+36,5.44977e+36,-7.28094e+35,1.09761e+34,1.81357e+34,1.06192e+16
-2.96903e+37,4.4748e+35,7.37822e+35,-9.8803e+34,1.48912e+33,2.45531e+33,1.44069e+15
-1.22906e+44,-8.23715e+43,2.99029e+42,-4.09005e+41,-2.74115e+41,9.95104e+39,8.92968e+22
-6.72879e+43,-5.16551e+43,1.38191e+42,-2.2392e+41,-1.71897e+41,4.59871e+39,4.79859e+22
-1.93012e+44,-1.41375e+44,4.97502e+42,-6.42302e+41,-4.70465e+41,1.65558e+40,1.48148e+23
-1.39561e+44,-1.02622e+44,3.53023e+42,-4.6443e+41,-3.41504e+41,1.17479e+40,1.07566e+23
-3.21418e+39,-2.35694e+39,8.16917e+37,-1.06961e+37,-7.84339e+36,2.71853e+35,2.46564e+18
-2.92085e+39,-2.20312e+39,5.12726e+37,-9.71997e+36,-7.33152e+36,1.70624e+35,2.27069e+18
-1.16051e+39,-8.48521e+38,2.1478e+37,-3.86192e+36,-2.8237e+36,7.14742e+34,8.69228e+17
-4.11135e+38,-2.85633e+38,1.95986e+36,-1.36817e+36,-9.50527e+35,6.52199e+33,2.99734e+17
-9.71912e+37,-7.71565e+37,1.8335e+36,-3.23432e+35,-2.5676e+35,6.10149e+33,7.49334e+16
-8.02867e+37,-5.82429e+37,1.93735e+36,-2.67177e+35,-1.9382e+35,6.44708e+33,6.29441e+16
-1.8532e+38,-1.32497e+38,6.7651e+36,-6.16706e+35,-4.40922e+35,2.25128e+34,1.31883e+17
-3.66307e+37,-2.75463e+37,1.44858e+36,-1.21899e+35,-9.16683e+34,4.82058e+33,2.99734e+16
-1.40817e+37,-1.00828e+37,2.48437e+35,-4.68608e+34,-3.35534e+34,8.26747e+32,1.09403e+16
-5.89417e+38,-4.31923e+38,1.50011e+37,-1.96145e+36,-1.43735e+36,4.99205e+34,4.51704e+17
-2.71623e+36,-1.99088e+36,6.90744e+34,-9.03904e+33,-6.62524e+33,2.29865e+32,2.08262e+15
-4.88878e+37,-3.58338e+37,1.24375e+36,-1.62688e+35,-1.19247e+35,4.13892e+33,3.74722e+16
-1.10108e+36,-8.63709e+35,1.22689e+34,-3.66417e+33,-2.87424e+33,4.08284e+31,8.69228e+14
-8.91699e+35,-6.45813e+35,1.76661e+34,-2.96738e+33,-2.14913e+33,5.8789e+31,6.89388e+14
-2.89883e+35,-2.2048e+35,1.65762e+32,-9.64668e+32,-7.33712e+32,5.51619e+29,2.09814e+14
-2.18756e+35,-1.48872e+35,5.95786e+33,-7.27973e+32,-4.95416e+32,1.98265e+31,1.64854e+14
-9.33625e+34,-6.6517e+34,1.54943e+33,-3.10691e+32,-2.21354e+32,5.15618e+30,7.49334e+13
-1.46226e+35,-1.09829e+35,4.8996e+33,-4.86608e+32,-3.65486e+32,1.63048e+31,1.19894e+14
-2.58682e+35,-1.7567e+35,3.66046e+33,-8.60838e+32,-5.84592e+32,1.21812e+31,1.94827e+14
-2.45649e+35,-1.72987e+35,1.13614e+34,-8.17468e+32,-5.75664e+32,3.78082e+31,1.94827e+14
-5.48459e+34,-4.1948e+34,2.00597e+33,-1.82516e+32,-1.39594e+32,6.67544e+30,4.49600e+13
-1.05067e+35,-7.54263e+34,3.85211e+33,-3.4964e+32,-2.51003e+32,1.2819e+31,7.49334e+13
-5.74883e+35,-3.96448e+35,2.18192e+34,-1.91309e+33,-1.3193e+33,7.26095e+31,4.34614e+14
-1.08248e+35,-8.16746e+34,3.95328e+33,-3.60225e+32,-2.71796e+32,1.31557e+31,8.99201e+13
-1.23009e+35,-8.4401e+34,5.06493e+33,-4.09349e+32,-2.80868e+32,1.6855e+31,8.99201e+13
-1.2473e+35,-8.83239e+34,5.96431e+32,-4.15074e+32,-2.93923e+32,1.9848e+30,8.99201e+13
-5.77766e+34,-4.57362e+34,1.97858e+33,-1.92268e+32,-1.522e+32,6.5843e+30,4.49600e+13
-6.01943e+34,-4.58989e+34,4.24701e+32,-2.00314e+32,-1.52742e+32,1.41331e+30,4.49600e+13
-5.88603e+34,-4.15368e+34,2.20083e+33,-1.95875e+32,-1.38226e+32,7.32391e+30,4.49600e+13
-2.06038e+34,-1.47224e+34,5.18605e+32,-6.8565e+31,-4.8993e+31,1.72581e+30,1.49867e+13
-1.99467e+34,-1.54209e+34,9.15574e+31,-6.63784e+31,-5.13176e+31,3.04684e+29,1.49867e+13
-2.11926e+34,-1.50705e+34,9.79982e+32,-7.05244e+31,-5.01514e+31,3.26117e+30,1.49867e+13
-2.0165e+34,-1.56494e+34,7.48255e+32,-6.71048e+31,-5.2078e+31,2.49003e+30,1.49867e+13
-2.10476e+34,-1.46208e+34,2.84693e+32,-7.00421e+31,-4.86547e+31,9.47397e+29,1.49867e+13
-6.24093e+34,-4.28272e+34,4.17025e+32,-2.07685e+32,-1.4252e+32,1.38777e+30,4.49600e+13
-1.86553e+34,-1.44192e+34,8.90928e+32,-6.20809e+31,-4.79839e+31,2.96482e+30,1.49867e+13
-1.24298e+35,-8.29356e+34,5.42014e+33,-4.13638e+32,-2.75992e+32,1.80371e+31,8.99201e+13
-1.93438e+34,-1.34821e+34,5.981e+32,-6.43719e+31,-4.48656e+31,1.99035e+30,1.49867e+13
-5.68324e+34,-4.38188e+34,1.8305e+33,-1.89126e+32,-1.4582e+32,6.09153e+30,4.49600e+13
-1.99151e+34,-1.37693e+34,3.29961e+32,-6.62731e+31,-4.58214e+31,1.09804e+30,1.49867e+13
-1.12098e+35,-8.57295e+34,2.72659e+33,-3.73037e+32,-2.85289e+32,9.0735e+30,8.99201e+13
-5.7258e+34,-4.29156e+34,5.27966e+32,-1.90542e+32,-1.42814e+32,1.75696e+30,4.49600e+13
-1.08494e+35,-8.12939e+34,2.01781e+33,-3.61045e+32,-2.70529e+32,6.71483e+30,8.99201e+13
-2.08896e+34,-1.43082e+34,7.64356e+32,-6.95162e+31,-4.76148e+31,2.54362e+30,1.49867e+13
-1.92078e+34,-1.48742e+34,6.43693e+32,-6.39196e+31,-4.9498e+31,2.14207e+30,1.49867e+13
-2.00747e+34,-1.56333e+34,2.97001e+32,-6.68042e+31,-5.20244e+31,9.88356e+29,1.49867e+13
-7.00991e+33,-5.1595e+33,1.21423e+32,-2.33275e+31,-1.71697e+31,4.04071e+29,5.52e+12
-7.10993e+33,-5.47403e+33,1.45779e+32,-2.36603e+31,-1.82164e+31,4.8512e+29,5.52e+12
-3.55244e+33,-2.74064e+33,1.81472e+31,-1.18218e+31,-9.12026e+30,6.039e+28,2.76e+12
-3.71956e+33,-2.76892e+33,6.74514e+31,-1.23779e+31,-9.21438e+30,2.24464e+29,2.76e+12
-1.76514e+33,-1.25114e+33,1.76844e+31,-5.874e+30,-4.16351e+30,5.88499e+28,1.38e+12
-5.60597e+33,-4.04228e+33,1.52413e+32,-1.86555e+31,-1.34518e+31,5.07199e+29,4.14e+12
-5.45575e+33,-3.87233e+33,1.50837e+32,-1.81556e+31,-1.28863e+31,5.01954e+29,4.14e+12
-1.39619e+40,-1.12733e+40,1.44495e+38,-4.64623e+37,-3.75153e+37,4.80848e+35,3.75095e+19
-3.83492e+40,-3.29125e+40,4.44891e+38,-1.27618e+38,-1.09526e+38,1.4805e+36,1.08032e+20
-2.09635e+41,-2.02874e+41,9.43599e+39,-6.9762e+38,-6.7512e+38,3.1401e+37,6.17498e+20
-3.7569e+41,-3.42491e+41,7.57285e+39,-1.25022e+39,-1.13974e+39,2.52008e+37,1.09549e+21
-8.76552e+41,-5.84186e+41,-4.55138e+40,-2.91698e+39,-1.94405e+39,-1.5146e+38,2.30649e+21
-4.43399e+43,-4.55235e+43,2.5766e+42,-1.47554e+41,-1.51493e+41,8.57439e+39,1.34518e+23
-1.82779e+39,-1.8748e+39,1.06526e+38,-6.08248e+36,-6.23894e+36,3.54497e+35,5.55103e+18
-5.98448e+41,-6.14028e+41,3.39241e+40,-1.99151e+39,-2.04336e+39,1.12892e+38,1.80567e+21
-2.77043e+39,-2.86626e+39,1.57643e+38,-9.21941e+36,-9.53829e+36,5.24601e+35,8.3123e+18
-6.25708e+38,-6.41442e+38,3.60716e+37,-2.08222e+36,-2.13458e+36,1.20039e+35,1.89648e+18
-1.73638e+38,-1.77923e+38,9.9985e+36,-5.77831e+35,-5.92088e+35,3.32729e+34,5.26249e+17
-2.35284e+36,-2.41024e+36,1.35132e+35,-7.82976e+33,-8.02075e+33,4.49691e+32,7.12799e+15
-1.33561e+36,-1.36839e+36,7.67463e+34,-4.44462e+33,-4.5537e+33,2.55395e+32,4.0464e+15
-8.40602e+35,-8.61861e+35,4.84424e+34,-2.79734e+33,-2.86809e+33,1.61206e+32,2.54774e+15
-1.8387e+36,-1.8845e+36,1.05805e+35,-6.1188e+33,-6.27122e+33,3.52097e+32,5.57194e+15
-5.31617e+37,-5.44749e+37,3.05874e+36,-1.76911e+35,-1.81281e+35,1.01788e+34,1.61097e+17
-4.59299e+37,-4.708e+37,2.64531e+36,-1.52845e+35,-1.56672e+35,8.80303e+33,1.39196e+17
-1.63188e+36,-1.67218e+36,9.39365e+34,-5.43055e+33,-5.56465e+33,3.12601e+32,4.94561e+15
-1.65863e+36,-1.6275e+36,9.88232e+34,-5.51956e+33,-5.41596e+33,3.28863e+32,4.94561e+15
-2.69486e+36,-2.80762e+36,1.33245e+35,-8.9679e+33,-9.34316e+33,4.43412e+32,8.24268e+15
-9.22928e+35,-9.44989e+35,4.23804e+34,-3.07131e+33,-3.14472e+33,1.41033e+32,2.6976e+15
-3.99023e+35,-4.05364e+35,2.08616e+34,-1.32786e+33,-1.34897e+33,6.94228e+31,1.19894e+15
-7.12669e+34,-7.25112e+34,4.1167e+33,-2.37161e+32,-2.41302e+32,1.36995e+31,2.09814e+14
-1.1024e+36,-1.12344e+36,7.49184e+34,-3.66855e+33,-3.73857e+33,2.49313e+32,3.29707e+15
-6.81899e+34,-6.87404e+34,3.60794e+33,-2.26921e+32,-2.28753e+32,1.20065e+31,2.09814e+14
-7.01059e+36,-7.17689e+36,3.67515e+35,-2.33298e+34,-2.38832e+34,1.22301e+33,2.09814e+16
-1.05731e+35,-1.05739e+35,6.392e+33,-3.51851e+32,-3.51876e+32,2.12712e+31,3.1472e+14
-2.56596e+35,-2.56893e+35,1.34717e+34,-8.53897e+32,-8.54887e+32,4.48309e+31,7.64321e+14
-1.30259e+37,-1.30254e+37,9.76798e+35,-4.33473e+34,-4.33459e+34,3.25058e+33,3.89654e+16
-6.97158e+34,-7.21466e+34,4.00063e+33,-2.31999e+32,-2.40088e+32,1.33132e+31,2.09814e+14
-1.16647e+35,-1.19992e+35,8.16515e+33,-3.88177e+32,-3.99308e+32,2.71719e+31,3.44694e+14
-2.96656e+33,-3.04121e+33,1.71031e+32,-9.87207e+30,-1.01205e+31,5.69155e+29,8.99201e+12
-1.08759e+34,-1.11496e+34,6.27431e+32,-3.61928e+31,-3.71036e+31,2.08796e+30,3.29707e+13
-1.48335e+33,-1.52102e+33,8.55306e+31,-4.93628e+30,-5.06163e+30,2.84628e+29,4.49600e+12
-2.5713e+34,-2.63482e+34,1.48056e+33,-8.55673e+31,-8.76811e+31,4.927e+30,7.79308e+13
-8.79557e+34,-8.92984e+34,5.38264e+33,-2.92698e+32,-2.97166e+32,1.79123e+31,2.599e+14
-8.39941e+34,-8.46338e+34,4.65408e+33,-2.79514e+32,-2.81643e+32,1.54878e+31,2.599e+14
-8.46894e+34,-8.89286e+34,4.39999e+33,-2.81828e+32,-2.95936e+32,1.46422e+31,2.599e+14
-1.35051e+35,-1.34614e+35,9.79939e+33,-4.49421e+32,-4.47965e+32,3.26103e+31,4.14e+14
-5.08492e+34,-5.12896e+34,3.31425e+33,-1.69215e+32,-1.70681e+32,1.10291e+31,1.495e+14
-2.61323e+34,-2.58448e+34,1.65654e+33,-8.69627e+31,-8.6006e+31,5.51261e+30,7.82e+13
-2.61045e+33,-2.76405e+33,1.49078e+32,-8.68703e+30,-9.19816e+30,4.961e+29,8.28e+12
-8.33468e+34,-8.88634e+34,5.04799e+33,-2.77361e+32,-2.95719e+32,1.67986e+31,2.599e+14
-8.83934e+34,-8.95332e+34,4.70589e+33,-2.94154e+32,-2.97947e+32,1.56602e+31,2.599e+14
-8.87125e+34,-8.98504e+34,4.35673e+33,-2.95216e+32,-2.99003e+32,1.44983e+31,2.599e+14
-8.56294e+34,-8.56977e+34,4.92941e+33,-2.84956e+32,-2.85184e+32,1.6404e+31,2.599e+14
-8.49983e+34,-8.59451e+34,5.40313e+33,-2.82856e+32,-2.86007e+32,1.79805e+31,2.599e+14
-8.29977e+34,-8.92636e+34,4.38367e+33,-2.76199e+32,-2.9705e+32,1.45879e+31,2.599e+14
-4.94613e+32,-5.06914e+32,2.84502e+31,-1.64597e+30,-1.6869e+30,9.46763e+28,1.49867e+12
-8.74099e+34,-8.65624e+34,4.42384e+33,-2.90881e+32,-2.88061e+32,1.47216e+31,2.599e+14
-8.78798e+34,-8.84369e+34,4.88382e+33,-2.92445e+32,-2.94299e+32,1.62523e+31,2.599e+14
-8.78016e+34,-8.79297e+34,5.50058e+33,-2.92185e+32,-2.92611e+32,1.83048e+31,2.599e+14
