pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass
-3.03817e-24,-3.07125e-24,1.71336e-25,-3.38242e-27,-3.41926e-27,1.9075e-28,1.98847e+30
5.47724e+46,1.72768e+47,9.0861e+45,6.08245e+43,1.91858e+44,1.00901e+43,3.30101e+23
1.11924e+48,3.50601e+46,-6.41232e+46,1.24291e+45,3.8934e+43,-7.12084e+43,4.86732e+24
1.23627e+47,-7.29423e+47,3.36973e+44,1.37287e+44,-8.1002e+44,3.74206e+41,5.97219e+24
-3.96179e+46,6.02568e+44,9.86395e+44,-4.39954e+43,6.69149e+41,1.09539e+42,6.41693e+23
-7.83219e+48,-6.62468e+48,1.40366e+47,-8.6976e+45,-7.35667e+45,1.55876e+44,1.89813e+27
-6.16415e+47,-5.32129e+47,1.51091e+46,-6.84526e+44,-5.90927e+44,1.67785e+43,5.68319e+26
-1.47899e+46,1.71082e+46,1.23651e+44,-1.64241e+43,1.89986e+43,1.37314e+41,8.68101e+25
-2.74279e+46,1.0205e+46,1.25288e+46,-3.04585e+43,1.13326e+43,1.39132e+43,1.0241e+26
1.6207e+43,-5.45868e+42,-3.15504e+42,1.79977e+40,-6.06183e+39,-3.50365e+39,9.47e+20
3.60696e+41,-4.67718e+43,-7.7544e+43,4.00551e+38,-5.19399e+40,-8.61122e+40,1.30293e+22
-1.92505e+41,-6.7e+40,5.68298e+40,-2.13775e+38,-7.44031e+37,6.31091e+37,1.6716e+22
1.62101e+41,1.80445e+40,-7.8902e+40,1.80012e+38,2.00383e+37,-8.76202e+37,4.006e+21
1.18234e+41,-3.11453e+40,-6.76065e+40,1.31298e+38,-3.45867e+37,-7.50767e+37,3.1e+21
-2.53437e+40,1.59518e+40,2.80229e+39,-2.8144e+37,1.77144e+37,3.11193e+36,1.75e+21
3.40282e+40,8.08329e+40,-1.047e+40,3.77881e+37,8.97644e+37,-1.16268e+37,1.4e+21
-1.17681e+40,-1.21336e+40,3.53115e+39,-1.30684e+37,-1.34743e+37,3.92132e+36,1.194e+21
2.51547e+40,-2.05473e+40,9.62848e+39,2.79341e+37,-2.28176e+37,1.06924e+37,6.348e+20
-2.74126e+40,1.09842e+40,-1.11201e+40,-3.04416e+37,1.21979e+37,-1.23488e+37,4.922e+20
1.58152e+45,-8.96344e+45,-2.22648e+42,1.75627e+42,-9.95385e+42,-2.4725e+39,7.34581e+22
-6.55649e+38,9.88401e+36,1.63312e+37,-7.28094e+35,1.09761e+34,1.81357e+34,1.06192e+16
-8.89721e+37,1.34095e+36,2.21101e+36,-9.8803e+34,1.48912e+33,2.45531e+33,1.44069e+15
-3.68309e+44,-2.4684e+44,8.96091e+42,-4.09005e+41,-2.74115e+41,9.95104e+39,8.92968e+22
-2.0164e+44,-1.54793e+44,4.14114e+42,-2.2392e+41,-1.71897e+41,4.59871e+39,4.79859e+22
-5.78393e+44,-4.23654e+44,1.49085e+43,-6.42302e+41,-4.70465e+41,1.65558e+40,1.48148e+23
-4.18219e+44,-3.07524e+44,1.0579e+43,-4.6443e+41,-3.41504e+41,1.17479e+40,1.07566e+23
-9.63183e+39,-7.06297e+39,2.44803e+38,-1.06961e+37,-7.84339e+36,2.71853e+35,2.46564e+18
-8.75283e+39,-6.60204e+39,1.53647e+38,-9.71997e+36,-7.33152e+36,1.70624e+35,2.27069e+18
-3.47766e+39,-2.54274e+39,6.43625e+37,-3.86192e+36,-2.8237e+36,7.14742e+34,8.69228e+17
-1.23204e+39,-8.55949e+38,5.87305e+36,-1.36817e+36,-9.50527e+35,6.52199e+33,2.99734e+17
-2.9125e+38,-2.31213e+38,5.49439e+36,-3.23432e+35,-2.5676e+35,6.10149e+33,7.49334e+16
-2.40593e+38,-1.74535e+38,5.8056e+36,-2.67177e+35,-1.9382e+35,6.44708e+33,6.29441e+16
-5.55344e+38,-3.9705e+38,2.02728e+37,-6.16706e+35,-4.40922e+35,2.25128e+34,1.31883e+17
-1.0977e+38,-8.25473e+37,4.34093e+36,-1.21899e+35,-9.16683e+34,4.82058e+33,2.99734e+16
-4.21981e+37,-3.02148e+37,7.44485e+35,-4.68608e+34,-3.35534e+34,8.26747e+32,1.09403e+16
-1.76629e+39,-1.29433e+39,4.49534e+37,-1.96145e+36,-1.43735e+36,4.99205e+34,4.51704e+17
-8.13966e+36,-5.96603e+36,2.06993e+35,-9.03904e+33,-6.62524e+33,2.29865e+32,2.08262e+15
-1.46501e+38,-1.07382e+38,3.7271e+36,-1.62688e+35,-1.19247e+35,4.13892e+33,3.74722e+16
-3.29959e+36,-2.58825e+36,3.6766e+34,-3.66417e+33,-2.87424e+33,4.08284e+31,8.69228e+14
-2.67213e+36,-1.93529e+36,5.29395e+34,-2.96738e+33,-2.14913e+33,5.8789e+31,6.89388e+14
-8.68683e+35,-6.60708e+35,4.96733e+32,-9.64668e+32,-7.33712e+32,5.51619e+29,2.09814e+14
-6.5554e+35,-4.46122e+35,1.78538e+34,-7.27973e+32,-4.95416e+32,1.98265e+31,1.64854e+14
-2.79777e+35,-1.9933e+35,4.64314e+33,-3.10691e+32,-2.21354e+32,5.15618e+30,7.49334e+13
-4.38191e+35,-3.2912e+35,1.46825e+34,-4.86608e+32,-3.65486e+32,1.63048e+31,1.19894e+14
-7.75184e+35,-5.26425e+35,1.09692e+34,-8.60838e+32,-5.84592e+32,1.21812e+31,1.94827e+14
-7.3613e+35,-5.18386e+35,3.40462e+34,-8.17468e+32,-5.75664e+32,3.78082e+31,1.94827e+14
-1.64355e+35,-1.25705e+35,6.01123e+33,-1.82516e+32,-1.39594e+32,6.67544e+30,4.49600e+13
-3.1485e+35,-2.26028e+35,1.15435e+34,-3.4964e+32,-2.51003e+32,1.2819e+31,7.49334e+13
-1.72274e+36,-1.18803e+36,6.53848e+34,-1.91309e+33,-1.3193e+33,7.26095e+31,4.34614e+14
-3.24382e+35,-2.44752e+35,1.18467e+34,-3.60225e+32,-2.71796e+32,1.31557e+31,8.99201e+13
-3.68619e+35,-2.52922e+35,1.51779e+34,-4.09349e+32,-2.80868e+32,1.6855e+31,8.99201e+13
-3.73774e+35,-2.64678e+35,1.78731e+33,-4.15074e+32,-2.93923e+32,1.9848e+30,8.99201e+13
-1.73137e+35,-1.37056e+35,5.92917e+33,-1.92268e+32,-1.522e+32,6.5843e+30,4.49600e+13
-1.80383e+35,-1.37544e+35,1.27269e+33,-2.00314e+32,-1.52742e+32,1.41331e+30,4.49600e+13
-1.76385e+35,-1.24472e+35,6.59518e+33,-1.95875e+32,-1.38226e+32,7.32391e+30,4.49600e+13
-6.17427e+34,-4.41182e+34,1.55409e+33,-6.8565e+31,-4.8993e+31,1.72581e+30,1.49867e+13
-5.97738e+34,-4.62115e+34,2.74368e+32,-6.63784e+31,-5.13176e+31,3.04684e+29,1.49867e+13
-6.35072e+34,-4.51613e+34,2.93668e+33,-7.05244e+31,-5.01514e+31,3.26117e+30,1.49867e+13
-6.04279e+34,-4.68963e+34,2.24227e+33,-6.71048e+31,-5.2078e+31,2.49003e+30,1.49867e+13
-6.30729e+34,-4.38136e+34,8.53131e+32,-7.00421e+31,-4.86547e+31,9.47397e+29,1.49867e+13
-1.8702e+35,-1.28339e+35,1.24969e+33,-2.07685e+32,-1.4252e+32,1.38777e+30,4.49600e+13
-5.59038e+34,-4.32095e+34,2.66982e+33,-6.20809e+31,-4.79839e+31,2.96482e+30,1.49867e+13
-3.72481e+35,-2.48531e+35,1.62424e+34,-4.13638e+32,-2.75992e+32,1.80371e+31,8.99201e+13
-5.79669e+34,-4.04015e+34,1.79231e+33,-6.43719e+31,-4.48656e+31,1.99035e+30,1.49867e+13
-1.70308e+35,-1.31311e+35,5.48542e+33,-1.89126e+32,-1.4582e+32,6.09153e+30,4.49600e+13
-5.9679e+34,-4.12621e+34,9.88784e+32,-6.62731e+31,-4.58214e+31,1.09804e+30,1.49867e+13
-3.3592e+35,-2.56903e+35,8.17069e+33,-3.73037e+32,-2.85289e+32,9.0735e+30,8.99201e+13
-1.71583e+35,-1.28604e+35,1.58214e+33,-1.90542e+32,-1.42814e+32,1.75696e+30,4.49600e+13
-3.25121e+35,-2.43611e+35,6.04671e+33,-3.61045e+32,-2.70529e+32,6.71483e+30,8.99201e+13
-6.25993e+34,-4.28771e+34,2.29053e+33,-6.95162e+31,-4.76148e+31,2.54362e+30,1.49867e+13
-5.75596e+34,-4.4573e+34,1.92894e+33,-6.39196e+31,-4.9498e+31,2.14207e+30,1.49867e+13
-6.01572e+34,-4.6848e+34,8.90015e+32,-6.68042e+31,-5.20244e+31,9.88356e+29,1.49867e+13
-2.10064e+34,-1.54613e+34,3.63866e+32,-2.33275e+31,-1.71697e+31,4.04071e+29,5.52e+12
-2.13061e+34,-1.64039e+34,4.36851e+32,-2.36603e+31,-1.82164e+31,4.8512e+29,5.52e+12
-1.06455e+34,-8.2128e+33,5.43812e+31,-1.18218e+31,-9.12026e+30,6.039e+28,2.76e+12
-1.11463e+34,-8.29755e+33,2.0213e+32,-1.23779e+31,-9.21438e+30,2.24464e+29,2.76e+12
-5.28954e+33,-3.74924e+33,5.29944e+31,-5.874e+30,-4.16351e+30,5.88499e+28,1.38e+12
-1.67993e+34,-1.21134e+34,4.56732e+32,-1.86555e+31,-1.34518e+31,5.07199e+29,4.14e+12
-1.63491e+34,-1.16041e+34,4.5201e+32,-1.81556e+31,-1.28863e+31,5.01954e+29,4.14e+12
-4.18393e+40,-3.37825e+40,4.33004e+38,-4.64623e+37,-3.75153e+37,4.80848e+35,3.75095e+19
-1.1492e+41,-9.86279e+40,1.33319e+39,-1.27618e+38,-1.09526e+38,1.4805e+36,1.08032e+20
-6.28207e+41,-6.07946e+41,2.82766e+40,-6.9762e+38,-6.7512e+38,3.1401e+37,6.17498e+20
-1.12582e+42,-1.02633e+42,2.26933e+40,-1.25022e+39,-1.13974e+39,2.52008e+37,1.09549e+21
-2.62674e+42,-1.75061e+42,-1.3639e+41,-2.91698e+39,-1.94405e+39,-1.5146e+38,2.30649e+21
-1.32872e+44,-1.36419e+44,7.72124e+42,-1.47554e+41,-1.51493e+41,8.57439e+39,1.34518e+23
-5.47728e+39,-5.61817e+39,3.19225e+38,-6.08248e+36,-6.23894e+36,3.54497e+35,5.55103e+18
-1.79335e+42,-1.84004e+42,1.01659e+41,-1.99151e+39,-2.04336e+39,1.12892e+38,1.80567e+21
