pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass
-1.34713e-24,-1.3618e-24,7.59708e-26,-3.38147e-27,-3.41829e-27,1.90696e-28,1.98847e+30
2.43602e+46,7.68389e+46,4.04107e+45,6.08245e+43,1.91858e+44,1.00901e+43,3.30101e+23
4.97785e+47,1.55931e+46,-2.8519e+46,1.24291e+45,3.8934e+43,-7.12084e+43,4.86732e+24
5.49834e+46,-3.24413e+47,1.4987e+44,1.37287e+44,-8.1002e+44,3.74206e+41,5.97219e+24
-1.76202e+46,2.67994e+44,4.38702e+44,-4.39954e+43,6.69149e+41,1.09539e+42,6.41693e+23
-3.48339e+48,-2.94635e+48,6.24283e+46,-8.6976e+45,-7.35667e+45,1.55876e+44,1.89813e+27
-2.74153e+47,-2.36666e+47,6.7198e+45,-6.84526e+44,-5.90927e+44,1.67785e+43,5.68319e+26
-6.57786e+45,7.60894e+45,5.49941e+43,-1.64241e+43,1.89986e+43,1.37314e+41,8.68101e+25
-1.21986e+46,4.5387e+45,5.57222e+45,-3.04585e+43,1.13326e+43,1.39132e+43,1.0241e+26
7.2081e+42,-2.42776e+42,-1.40321e+42,1.79977e+40,-6.06183e+39,-3.50365e+39,9.47e+20
1.60421e+41,-2.08019e+43,-3.44879e+43,4.00551e+38,-5.19399e+40,-8.61122e+40,1.30293e+22
-8.5617e+40,-2.97984e+40,2.52752e+40,-2.13775e+38,-7.44031e+37,6.31091e+37,1.6716e+22
7.20949e+40,8.02534e+39,-3.50919e+40,1.80012e+38,2.00383e+37,-8.76202e+37,4.006e+21
5.25849e+40,-1.3852e+40,-3.00682e+40,1.31298e+38,-3.45867e+37,-7.50767e+37,3.1e+21
-1.12717e+40,7.09462e+39,1.24633e+39,-2.8144e+37,1.77144e+37,3.11193e+36,1.75e+21
1.51341e+40,3.59507e+40,-4.65655e+39,3.77881e+37,8.97644e+37,-1.16268e+37,1.4e+21
-5.23391e+39,-5.39645e+39,1.57049e+39,-1.30684e+37,-1.34743e+37,3.92132e+36,1.194e+21
1.11876e+40,-9.13845e+39,4.28229e+39,2.79341e+37,-2.28176e+37,1.06924e+37,6.348e+20
-1.21919e+40,4.88527e+39,-4.9457e+39,-3.04416e+37,1.21979e+37,-1.23488e+37,4.922e+20
7.03386e+44,-3.98652e+45,-9.90235e+41,1.75627e+42,-9.95385e+42,-2.4725e+39,7.34581e+22
-2.91602e+38,4.39594e+36,7.26333e+36,-7.28094e+35,1.09761e+34,1.81357e+34,1.06192e+16
-3.95706e+37,5.96391e+35,9.83353e+35,-9.8803e+34,1.48912e+33,2.45531e+33,1.44069e+15
-1.63806e+44,-1.09783e+44,3.98539e+42,-4.09005e+41,-2.74115e+41,9.95104e+39,8.92968e+22
-8.96799e+43,-6.88448e+43,1.84178e+42,-2.2392e+41,-1.71897e+41,4.59871e+39,4.79859e+22
-2.57242e+44,-1.88421e+44,6.6306e+42,-6.42302e+41,-4.70465e+41,1.65558e+40,1.48148e+23
-1.86004e+44,-1.36772e+44,4.70502e+42,-4.6443e+41,-3.41504e+41,1.17479e+40,1.07566e+23
-4.28379e+39,-3.14128e+39,1.08877e+38,-1.06961e+37,-7.84339e+36,2.71853e+35,2.46564e+18
-3.89285e+39,-2.93628e+39,6.8335e+37,-9.71997e+36,-7.33152e+36,1.70624e+35,2.27069e+18
-1.5467e+39,-1.13089e+39,2.86254e+37,-3.86192e+36,-2.8237e+36,7.14742e+34,8.69228e+17
