pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass
-2.69993e-24,-2.72933e-24,1.52261e-25,-3.38233e-27,-3.41916e-27,1.90744e-28,1.98847e+30
4.869e+46,1.53582e+47,8.0771e+45,6.08245e+43,1.91858e+44,1.00901e+43,3.30101e+23
9.94948e+47,3.11667e+46,-5.70023e+46,1.24291e+45,3.8934e+43,-7.12084e+43,4.86732e+24
1.09898e+47,-6.48421e+47,2.99552e+44,1.37287e+44,-8.1002e+44,3.74206e+41,5.97219e+24
-3.52183e+46,5.35653e+44,8.76857e+44,-4.39954e+43,6.69149e+41,1.09539e+42,6.41693e+23
-6.96243e+48,-5.88901e+48,1.24779e+47,-8.6976e+45,-7.35667e+45,1.55876e+44,1.89813e+27
-5.47963e+47,-4.73037e+47,1.34312e+46,-6.84526e+44,-5.90927e+44,1.67785e+43,5.68319e+26
-1.31475e+46,1.52084e+46,1.0992e+44,-1.64241e+43,1.89986e+43,1.37314e+41,8.68101e+25
-2.4382e+46,9.07173e+45,1.11375e+46,-3.04585e+43,1.13326e+43,1.39132e+43,1.0241e+26
1.44072e+43,-4.8525e+42,-2.80467e+42,1.79977e+40,-6.06183e+39,-3.50365e+39,9.47e+20
3.20641e+41,-4.15779e+43,-6.89328e+43,4.00551e+38,-5.19399e+40,-8.61122e+40,1.30293e+22
-1.71127e+41,-5.95597e+40,5.05188e+40,-2.13775e+38,-7.44031e+37,6.31091e+37,1.6716e+22
1.441e+41,1.60407e+40,-7.014e+40,1.80012e+38,2.00383e+37,-8.76202e+37,4.006e+21
1.05104e+41,-2.76867e+40,-6.00989e+40,1.31298e+38,-3.45867e+37,-7.50767e+37,3.1e+21
-2.25293e+40,1.41804e+40,2.4911e+39,-2.8144e+37,1.77144e+37,3.11193e+36,1.75e+21
3.02494e+40,7.18564e+40,-9.30729e+39,3.77881e+37,8.97644e+37,-1.16268e+37,1.4e+21
-1.04613e+40,-1.07862e+40,3.13901e+39,-1.30684e+37,-1.34743e+37,3.92132e+36,1.194e+21
