pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass
0,0,0,0,0,0,1.98847e+30
3.04122e+43,9.59288e+43,5.04503e+42,6.08245e+43,1.91858e+44,1.00901e+43,3.30101e+23
6.21454e+44,1.9467e+43,-3.56042e+43,1.24291e+45,3.8934e+43,-7.12084e+43,4.86732e+24
6.86435e+43,-4.0501e+44,1.87103e+41,1.37287e+44,-8.1002e+44,3.74206e+41,5.97219e+24
-2.19977e+43,3.34574e+41,5.47693e+41,-4.39954e+43,6.69149e+41,1.09539e+42,6.41693e+23
-4.3488e+45,-3.67834e+45,7.7938e+43,-8.6976e+45,-7.35667e+45,1.55876e+44,1.89813e+27
-3.42263e+44,-2.95463e+44,8.38926e+42,-6.84526e+44,-5.90927e+44,1.67785e+43,5.68319e+26
-8.21207e+42,9.4993e+42,6.86568e+40,-1.64241e+43,1.89986e+43,1.37314e+41,8.68101e+25
-1.52293e+43,5.66629e+42,6.95658e+42,-3.04585e+43,1.13326e+43,1.39132e+43,1.0241e+26
8.99887e+39,-3.03092e+39,-1.75183e+39,1.79977e+40,-6.06183e+39,-3.50365e+39,9.47e+20
2.00275e+38,-2.59699e+40,-4.30561e+40,4.00551e+38,-5.19399e+40,-8.61122e+40,1.30293e+22
-1.06888e+38,-3.72015e+37,3.15546e+37,-2.13775e+38,-7.44031e+37,6.31091e+37,1.6716e+22
9.00062e+37,1.00192e+37,-4.38101e+37,1.80012e+38,2.00383e+37,-8.76202e+37,4.006e+21
6.5649e+37,-1.72933e+37,-3.75383e+37,1.31298e+38,-3.45867e+37,-7.50767e+37,3.1e+21
-1.4072e+37,8.8572e+36,1.55597e+36,-2.8144e+37,1.77144e+37,3.11193e+36,1.75e+21
1.8894e+37,4.48822e+37,-5.81342e+36,3.77881e+37,8.97644e+37,-1.16268e+37,1.4e+21
-6.53422e+36,-6.73714e+36,1.96066e+36,-1.30684e+37,-1.34743e+37,3.92132e+36,1.194e+21
1.39671e+37,-1.14088e+37,5.34618e+36,2.79341e+37,-2.28176e+37,1.06924e+37,6.348e+20
-1.52208e+37,6.09896e+36,-6.17441e+36,-3.04416e+37,1.21979e+37,-1.23488e+37,4.922e+20
8.78134e+41,-4.97692e+42,-1.23625e+39,1.75627e+42,-9.95385e+42,-2.4725e+39,7.34581e+22
-3.64047e+35,5.48807e+33,9.06783e+33,-7.28094e+35,1.09761e+34,1.81357e+34,1.06192e+16
-4.94015e+34,7.44559e+32,1.22766e+33,-9.8803e+34,1.48912e+33,2.45531e+33,1.44069e+15
-2.04502e+41,-1.37057e+41,4.97552e+39,-4.09005e+41,-2.74115e+41,9.95104e+39,8.92968e+22
-1.1196e+41,-8.59485e+40,2.29935e+39,-2.2392e+41,-1.71897e+41,4.59871e+39,4.79859e+22
-3.21151e+41,-2.35232e+41,8.2779e+39,-6.42302e+41,-4.70465e+41,1.65558e+40,1.48148e+23
-2.32215e+41,-1.70752e+41,5.87393e+39,-4.6443e+41,-3.41504e+41,1.17479e+40,1.07566e+23
-5.34805e+36,-3.9217e+36,1.35926e+35,-1.06961e+37,-7.84339e+36,2.71853e+35,2.46564e+18
-4.85998e+36,-3.66576e+36,8.53121e+34,-9.71997e+36,-7.33152e+36,1.70624e+35,2.27069e+18
